accession,full_id,description,length,gc_content,n_fraction,label,species,genus
PX849491,PX849491.1,"PX849491.1 Dengue virus type 3 isolate hDenV3/USA/CA-LACPHL-DA00083/2025 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10618,0.4656244113769071,0.0001883593897155,ARB,Dengue virus 3,Flavivirus
PV440223,PV440223.1,"PV440223.1 Dengue virus type 3 isolate PTHuDENV3/113210/INSA2024 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10692,0.4672652450430228,0.0,ARB,Dengue virus 3,Flavivirus
PX447463,PX447463.1,"PX447463.1 Dengue virus type 2 isolate BC51_25Sep25_2025-07-31 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10531,0.4575064096477068,0.0,ARB,Dengue virus 2,Flavivirus
PX447462,PX447462.1,"PX447462.1 Dengue virus type 2 isolate BC44-2_25Sep25_2025-06-17 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10535,0.4579971523493118,0.0,ARB,Dengue virus 2,Flavivirus
PX447461,PX447461.1,"PX447461.1 Dengue virus type 2 isolate BC41_25Sep25_2025-05-25 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10531,0.4538030576393504,0.0087361124299686,ARB,Dengue virus 2,Flavivirus
PX447460,PX447460.1,"PX447460.1 Dengue virus type 2 isolate BC40-2_25Sep25_2025-05-04 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10530,0.4524216524216524,0.0099715099715099,ARB,Dengue virus 2,Flavivirus
PX447457,PX447457.1,"PX447457.1 Dengue virus type 2 isolate BC34_25Sep25_2025-01-13 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10530,0.4553656220322887,9.49667616334283e-05,ARB,Dengue virus 2,Flavivirus
PX447456,PX447456.1,"PX447456.1 Dengue virus type 2 isolate BC33_25Sep25_2025-01-08 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10532,0.4578427649069502,0.0,ARB,Dengue virus 2,Flavivirus
PX480447,PX480447.1,"PX480447.1 Dengue virus type 4 isolate D20-0259, complete genome",10649,0.4710301436754625,0.0,ARB,Dengue virus 4,Flavivirus
PX480446,PX480446.1,"PX480446.1 Dengue virus type 4 isolate D20-0040, complete genome",10649,0.4698093717719974,0.0,ARB,Dengue virus 4,Flavivirus
PX480445,PX480445.1,"PX480445.1 Dengue virus type 4 isolate D19-2229, complete genome",10649,0.46952765517889,0.0,ARB,Dengue virus 4,Flavivirus
PX480444,PX480444.1,"PX480444.1 Dengue virus type 4 isolate D19-1649, complete genome",10649,0.4713118602685698,0.0,ARB,Dengue virus 4,Flavivirus
PX480443,PX480443.1,"PX480443.1 Dengue virus type 4 isolate D19-1286, complete genome",10649,0.4723448211099634,0.0,ARB,Dengue virus 4,Flavivirus
PX480442,PX480442.1,"PX480442.1 Dengue virus type 4 isolate D18-2040, complete genome",10649,0.4685885998685322,0.0,ARB,Dengue virus 4,Flavivirus
PX480441,PX480441.1,"PX480441.1 Dengue virus type 4 isolate D18-0170, complete genome",10649,0.4694337496478543,0.0,ARB,Dengue virus 4,Flavivirus
PX480440,PX480440.1,"PX480440.1 Dengue virus type 4 isolate D17-1913, complete genome",10649,0.46952765517889,0.0,ARB,Dengue virus 4,Flavivirus
PX480439,PX480439.1,"PX480439.1 Dengue virus type 4 isolate D17-1206, complete genome",10649,0.4699971828340689,0.0,ARB,Dengue virus 4,Flavivirus
PX480438,PX480438.1,"PX480438.1 Dengue virus type 4 isolate D17-0712, complete genome",10649,0.4704667104892478,0.0,ARB,Dengue virus 4,Flavivirus
PX480437,PX480437.1,"PX480437.1 Dengue virus type 4 isolate D17-0537, complete genome",10649,0.4708423326133909,0.0,ARB,Dengue virus 4,Flavivirus
PX480436,PX480436.1,"PX480436.1 Dengue virus type 3 isolate D21-0005, complete genome",10707,0.4657700569720743,0.0,ARB,Dengue virus 3,Flavivirus
